ASV	Kingdom	Phylum	Class	Order	Family	Genus	gillis_1_1.filt.fastq.gz	gillis_10_1.filt.fastq.gz	gillis_11_1.filt.fastq.gz	gillis_12_1.filt.fastq.gz	gillis_13_1.filt.fastq.gz	gillis_14_1.filt.fastq.gz	gillis_15_1.filt.fastq.gz	gillis_16_1.filt.fastq.gz	gillis_17_1.filt.fastq.gz	gillis_18_1.filt.fastq.gz	gillis_19_1.filt.fastq.gz	gillis_2_1.filt.fastq.gz	gillis_20_1.filt.fastq.gz	gillis_3_1.filt.fastq.gz	gillis_4_1.filt.fastq.gz	gillis_5_1.filt.fastq.gz	gillis_6_1.filt.fastq.gz	gillis_7_1.filt.fastq.gz	gillis_8_1.filt.fastq.gz	gillis_9_1.filt.fastq.gz
ASV807	Bacteria	Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Brevibacillus	0	0	0	0	0	0	25	0	26	0	0	0	0	0	26	0	0	0	0	0
ASV808	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0
ASV809	Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	NA	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	5	0	0	0	0
ASV81	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA	0	74	52	0	0	0	71	0	0	52	51	51	0	0	41	0	74	48	62	76
ASV810	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Gp6	NA	NA	11	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0
ASV811	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
ASV812	Bacteria	Acidobacteriota	Acidobacteria_Gp7	Gp7	NA	NA	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
ASV813	Bacteria	Pseudomonadota	NA	NA	NA	NA	27	0	0	18	0	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0
ASV814	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium	0	0	0	0	0	0	38	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV815	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	NA	NA	0	0	0	0	0	0	26	0	32	0	0	18	0	0	0	0	0	0	0	0
ASV816	Bacteria	Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	18	0	0	0	0	0	0	0	22	0	0	0	36	0
ASV817	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	31	0
ASV818	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	0	0	0	0	0	0	0	0	0	0	0	0	38	38	0	0	0	0	0	0
ASV819	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Gp6	NA	NA	0	13	0	11	0	0	0	0	0	13	0	4	0	0	34	0	0	0	0	0
ASV82	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	0	0	0	77	45	0	0	106	0	0	0	0	81	0	101	0	0	138	99	0
ASV820	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	NA	0	0	48	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ASV821	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	0	0	27	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV822	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	0	0	23	0	0	0	0	0	11	0	0	0	22	0	19	0	0	0	0	0
ASV823	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	21	0	0	0	0	0	0	0	0	0	31	0	0	0	23	0
ASV824	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	40	0	0
ASV825	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium	0	0	0	0	0	0	33	0	0	0	0	0	9	0	0	0	33	0	0	0
ASV826	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV827	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0
ASV828	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	11	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	37	0	0
ASV829	Bacteria	NA	NA	NA	NA	NA	0	0	0	11	0	0	34	0	0	0	0	5	14	0	0	0	0	0	10	0
ASV83	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	18	29	29	53	27	66	39	0	0	49	32	21	20	10	66	11	62	16	64	30
ASV830	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA	0	0	0	0	24	0	0	0	0	0	0	0	0	11	0	24	0	0	0	15
ASV831	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Acidibacter	NA	0	0	0	0	0	0	28	0	0	0	0	0	15	0	31	0	0	0	0	0
ASV832	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	NA	NA	0	0	0	0	0	0	11	33	0	0	0	0	0	0	0	0	0	30	0	0
ASV833	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA	0	0	0	0	0	0	9	0	0	0	0	24	21	0	20	0	0	0	0	0
ASV834	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	NA	NA	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0
ASV835	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Gp6	NA	NA	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
ASV836	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA	0	0	0	0	0	0	0	0	0	0	0	0	44	0	30	0	0	0	0	0
