"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Neobacillus",NA
"ASV2","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Priestia",NA
"ASV3","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV4","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV5","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV6","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV7","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV8","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV9","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV10","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA
"ASV11","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV12","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter",NA
"ASV13","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV14","Bacteria",NA,NA,NA,NA,NA,NA
"ASV15","Bacteria",NA,NA,NA,NA,NA,NA
"ASV16","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV17","Bacteria","Acidobacteriota","Acidobacteria_Gp16","Gp16",NA,NA,NA
"ASV18","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV19","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV20","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV21","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV22","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV23","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV24","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV25","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",NA
"ASV26","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV27","Bacteria",NA,NA,NA,NA,NA,NA
"ASV28","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
"ASV29","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","japonica"
"ASV30","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV31","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV32","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV33","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV34","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV35","Bacteria",NA,NA,NA,NA,NA,NA
"ASV36","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV37","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV38","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV39","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV40","Bacteria","Actinomycetota","Actinobacteria",NA,NA,NA,NA
"ASV41","Bacteria",NA,NA,NA,NA,NA,NA
"ASV42","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales",NA,NA,NA
"ASV43","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV44","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV45","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV46","Bacteria",NA,NA,NA,NA,NA,NA
"ASV47","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV48","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV49","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales",NA,NA,NA
"ASV50","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA
"ASV51","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Niallia",NA
"ASV52","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV53","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV54","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV55","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV56","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV57","Bacteria","Actinomycetota","Actinobacteria",NA,NA,NA,NA
"ASV58","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV59","Bacteria","Pseudomonadota","Deltaproteobacteria",NA,NA,NA,NA
"ASV60","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV61","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV62","Bacteria","Bacillota","Bacilli","Caryophanales",NA,NA,NA
"ASV63","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",NA
"ASV64","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA
"ASV65","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV66","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV67","Bacteria",NA,NA,NA,NA,NA,NA
"ASV68","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV69","Bacteria","Actinomycetota","Actinobacteria","Geodermatophilales","Geodermatophilaceae",NA,NA
"ASV70","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV71","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV72","Bacteria","Pseudomonadota","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Povalibacter","uvarum"
"ASV73","Bacteria","Acidobacteriota","Acidobacteria_Gp16","Gp16",NA,NA,NA
"ASV74","Bacteria","Actinomycetota","Actinobacteria","Jatrophihabitantales","Jatrophihabitantaceae","Jatrophihabitans","endophyticus"
"ASV75","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV76","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Pseudolabrys",NA
"ASV77","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV78","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter",NA
"ASV79","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia",NA
"ASV81","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV82","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA
"ASV83","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV84","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV85","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV86","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV87","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV88","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA,NA
"ASV89","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV90","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV91","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas",NA
"ASV92","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV93","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV94","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV96","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis",NA
"ASV97","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV98","Bacteria",NA,NA,NA,NA,NA,NA
"ASV99","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV100","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV101","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV102","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV103","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV104","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV105","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV106","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV107","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV108","Bacteria","Actinomycetota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA
"ASV109","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV110","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV112","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV113","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV114","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV115","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae",NA,NA
"ASV116","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"ASV117","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV118","Bacteria",NA,NA,NA,NA,NA,NA
"ASV119","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Niallia",NA
"ASV120","Bacteria","Bacillota","Bacilli","Caryophanales",NA,NA,NA
"ASV121","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae","Rugosimonospora",NA
"ASV122","Bacteria","Actinomycetota","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Blastococcus",NA
"ASV123","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV124","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae",NA,NA
"ASV125","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"ASV127","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV128","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV129","Bacteria","Acidobacteriota","Acidobacteria_Gp4","Gp4",NA,NA,NA
"ASV130","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV131","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV132","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV133","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Azohydromonas","australica"
"ASV134","Bacteria",NA,NA,NA,NA,NA,NA
"ASV135","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia",NA
"ASV136","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","daechungensis"
"ASV137","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV138","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV139","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora",NA
"ASV140","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV141","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae",NA,NA
"ASV143","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV144","Bacteria","Actinomycetota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA
"ASV145","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV146","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV147","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium",NA
"ASV148","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA
"ASV149","Bacteria","Actinomycetota",NA,NA,NA,NA,NA
"ASV150","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV151","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV152","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV153","Bacteria","Acidobacteriota",NA,NA,NA,NA,NA
"ASV154","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV155","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV156","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV157","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV158","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV159","Bacteria","Actinomycetota",NA,NA,NA,NA,NA
"ASV160","Bacteria",NA,NA,NA,NA,NA,NA
"ASV161","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Terribacillus",NA
"ASV162","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV163","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV164","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella",NA
"ASV165","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV166","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Oxalophagus",NA
"ASV167","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV168","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Parviterribacteraceae","Parviterribacter",NA
"ASV170","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","cf."
"ASV171","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingosinicellaceae","Sphingosinicella",NA
"ASV172","Bacteria","Verrucomicrobiota","Subdivision3",NA,NA,NA,NA
"ASV174","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV175","Bacteria","Actinomycetota",NA,NA,NA,NA,NA
"ASV176","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV177","Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"ASV178","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium",NA
"ASV179","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV180","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales",NA,NA,NA
"ASV181","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Paenibacillus",NA
"ASV182","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV183","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV184","Bacteria","Actinomycetota","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Geodermatophilus",NA
"ASV185","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV186","Bacteria","Actinomycetota","Actinobacteria","Geodermatophilales","Geodermatophilaceae","Geodermatophilus",NA
"ASV187","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV188","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV189","Bacteria",NA,NA,NA,NA,NA,NA
"ASV190","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV191","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV192","Bacteria",NA,NA,NA,NA,NA,NA
"ASV193","Bacteria",NA,NA,NA,NA,NA,NA
"ASV194","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus","ginsengisoli"
"ASV195","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV196","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV197","Bacteria","Acidobacteriota","Acidobacteria_Gp17","Gp17",NA,NA,NA
"ASV198","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV199","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV200","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales",NA,NA,NA
"ASV201","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV202","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium",NA
"ASV203","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Paenibacillus",NA
"ASV204","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Candidatus_Koribacter",NA
"ASV205","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae",NA,NA
"ASV206","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae",NA,NA
"ASV207","Bacteria","Acidobacteriota","Acidobacteria_Gp7","Gp7",NA,NA,NA
"ASV208","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV209","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV210","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV212","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV213","Bacteria",NA,NA,NA,NA,NA,NA
"ASV214","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV215","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV216","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA
"ASV217","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV218","Bacteria",NA,NA,NA,NA,NA,NA
"ASV219","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV220","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"ASV221","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
"ASV222","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV223","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Caldibacillus",NA
"ASV224","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae","Ureibacillus",NA
"ASV226","Bacteria",NA,NA,NA,NA,NA,NA
"ASV227","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales","Polyangiaceae",NA,NA
"ASV228","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV229","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae",NA,NA
"ASV230","Bacteria",NA,NA,NA,NA,NA,NA
"ASV231","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV232","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV233","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV234","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium","holsaticum"
"ASV235","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV236","Bacteria",NA,NA,NA,NA,NA,NA
"ASV237","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Baekduiaceae","Baekduia",NA
"ASV238","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV239","Bacteria",NA,NA,NA,NA,NA,NA
"ASV240","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"ASV241","Bacteria","Pseudomonadota","Deltaproteobacteria",NA,NA,NA,NA
"ASV242","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV243","Bacteria",NA,NA,NA,NA,NA,NA
"ASV244","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV245","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter",NA
"ASV246","Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV247","Bacteria","Actinomycetota","Actinobacteria","Geodermatophilales","Geodermatophilaceae",NA,NA
"ASV248","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV249","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Labrys",NA
"ASV250","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV251","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV252","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV253","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV254","Bacteria","Pseudomonadota","Deltaproteobacteria",NA,NA,NA,NA
"ASV255","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA
"ASV256","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV257","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV258","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV259","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV260","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV261","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",NA
"ASV262","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV263","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium",NA
"ASV264","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Shouchella",NA
"ASV265","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Pullulanibacillus",NA
"ASV266","Bacteria",NA,NA,NA,NA,NA,NA
"ASV267","Bacteria",NA,NA,NA,NA,NA,NA
"ASV268","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"ASV269","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV270","Bacteria","Actinomycetota","Actinobacteria",NA,NA,NA,NA
"ASV271","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea",NA
"ASV272","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV273","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV274","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Pseudolabrys",NA
"ASV275","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV276","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae","Paenibacillus",NA
"ASV277","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"ASV278","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae",NA,NA
"ASV279","Bacteria",NA,NA,NA,NA,NA,NA
"ASV280","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"ASV281","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA
"ASV282","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV283","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
